Month,ismejeriet: (Capital Region of Denmark),paradis is: (Capital Region of Denmark),østerberg is: (Capital Region of Denmark),nicecream: (Capital Region of Denmark)
2013-02,0,13,0,0
2013-03,12,52,5,0
2013-04,11,85,0,0
2013-05,7,94,0,0
2013-06,11,81,0,0
2013-07,20,97,3,0
2013-08,13,57,0,0
2013-09,11,42,0,0
2013-10,6,25,0,0
2013-11,6,10,10,5
2013-12,9,18,0,0
2014-01,0,9,0,0
2014-02,0,23,0,0
2014-03,5,94,0,0
2014-04,16,94,0,0
2014-05,4,80,0,4
2014-06,15,78,0,0
2014-07,20,94,5,4
2014-08,7,33,4,0
2014-09,13,56,0,0
2014-10,13,37,0,0
2014-11,0,12,0,0
2014-12,0,12,0,0
2015-01,2,14,4,0
2015-02,5,41,4,0
2015-03,3,38,0,0
2015-04,16,68,3,0
2015-05,12,50,0,0
2015-06,9,66,0,0
2015-07,14,70,4,12
2015-08,16,69,3,0
2015-09,6,28,3,6
2015-10,3,23,0,3
2015-11,0,13,0,4
2015-12,4,12,0,2
2016-01,4,10,0,0
2016-02,10,46,0,2
2016-03,9,54,0,8
2016-04,14,82,3,4
2016-05,31,100,7,14
2016-06,37,87,0,10
2016-07,46,75,0,31
2016-08,28,59,0,9
2016-09,15,50,0,6
2016-10,9,24,0,7
2016-11,5,16,4,0
2016-12,7,12,0,6
2017-01,4,10,0,4
2017-02,6,15,0,11
2017-03,14,57,3,3
2017-04,24,66,2,14
2017-05,33,82,2,22
2017-06,37,73,0,23
2017-07,27,64,2,21
2017-08,22,41,3,13
2017-09,15,24,0,10
2017-10,11,13,0,7
2017-11,8,8,3,0
2017-12,11,10,7,10
2018-01,7,7,0,6
2018-02,12,14,0,6
2018-03,13,44,0,9
2018-04,15,95,15,11
2018-05,32,99,6,17
2018-06,34,75,0,21
2018-07,18,68,0,21
2018-08,14,58,5,10
2018-09,6,30,0,14
2018-10,6,24,3,8
2018-11,0,5,0,4
2018-12,13,14,9,6
2019-01,8,6,0,5
2019-02,8,15,0,10
2019-03,13,48,4,12
2019-04,12,70,4,15
2019-05,24,52,3,15
2019-06,37,78,2,23
2019-07,6,66,0,25
2019-08,23,37,0,18
2019-09,14,20,5,11
2019-10,5,18,0,2
2019-11,7,19,0,5
2019-12,3,9,7,12
2020-01,7,8,2,9
2020-02,16,10,0,10
2020-03,19,50,4,7
2020-04,33,97,4,16
2020-05,25,74,9,16
2020-06,16,81,5,23
2020-07,28,47,6,24
2020-08,24,50,3,33
2020-09,11,28,0,19
2020-10,8,21,4,4
2020-11,18,13,3,6
2020-12,18,8,0,20
2021-01,7,11,0,6
2021-02,12,9,0,6
2021-03,8,33,3,9
2021-04,22,47,0,10
2021-05,13,61,0,12
2021-06,13,68,3,10
2021-07,6,51,4,7
2021-08,0,21,3,9
2021-09,7,25,3,4
2021-10,5,12,5,10
2021-11,0,11,7,6
2021-12,11,8,0,11
2022-01,0,6,0,5
2022-02,8,20,3,5
2022-03,14,36,5,2
2022-04,12,44,2,10
2022-05,15,42,6,14
2022-06,7,44,3,3
2022-07,13,37,0,16
2022-08,7,46,0,6
2022-09,11,21,0,3
2022-10,3,11,2,0
2022-11,2,3,0,0
2022-12,8,5,0,10
2023-01,0,8,0,0
2023-02,0,0,0,0
